,PrimaryPropertyType,Latitude,Longitude,NumberofBuildings,PropertyGFATotal,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,ElectricityUse(Percentage),SteamUse(Percentage),NaturalGasUse(Percentage),LargestUseTypeGFA(Percentage),SecondLargestUseTypeGFA(Percentage),ThirdLargestUseTypeGFA(Percentage),ParkingGFA(Percentage),NumberOfYearsENERGYSTARCertified,BuildingAge,NumberOfPropertyUses
0,Leisure,47.6122,-122.33799,0.3010299956639812,4.946624180155043,Leisure,None,None,60.0,6.8589198036302355,2.3996391149642737,54.61,27.73,17.66,100.0,0.0,0.0,0.0,0.0,89,1
1,Leisure,47.61317,-122.33393,0.3010299956639812,5.015221396326696,Leisure,ServiceFacility,Leisure,61.0,6.923655004584368,2.472551683114428,38.66,0.0,61.34,80.99,14.55,4.46,14.55,0.0,20,3
2,Leisure,47.61393,-122.3381,0.3010299956639812,5.9805083147542355,Leisure,None,None,43.0,7.860858997084379,3.3202044652067677,68.23,29.71,2.06,79.12,0.0,0.0,20.57,0.0,47,1
3,Leisure,47.61412,-122.33664,0.3010299956639812,4.7876092285525385,Leisure,None,None,56.0,6.832162936018625,2.458532094885551,40.75,32.59,26.66,100.0,0.0,0.0,0.0,0.0,90,1
4,Leisure,47.61375,-122.34047,0.3010299956639812,5.244477518166886,Leisure,ServiceFacility,Leisure,75.0,7.151449744501191,2.704159099649888,37.88,0.0,62.12,70.31,38.73,0.0,35.31,0.0,36,3
5,ServiceFacility,47.61623,-122.33657,0.3010299956639812,4.988063739452725,ServiceFacility,None,None,,7.082304760428389,2.4811702132095,60.99,0.0,39.01,91.31,0.0,0.0,38.23,0.0,17,1
6,Leisure,47.6139,-122.33283,0.3010299956639812,4.919125181995805,Leisure,None,None,27.0,6.760331694323706,2.2483166403417796,48.82,0.0,51.18,98.01,0.0,0.0,0.0,0.0,90,1
7,ServiceFacility,47.61327,-122.33136,0.3010299956639812,5.011832548109989,Leisure,None,None,,6.799211793076254,2.3473495337314567,57.74,36.14,6.12,100.0,0.0,0.0,0.0,0.0,90,1
8,Leisure,47.60294,-122.33263,0.3010299956639812,5.214804124174758,Leisure,None,None,43.0,7.137475044911735,2.594569326395738,53.18,0.0,46.82,100.0,0.0,0.0,0.0,0.0,112,1
10,Leisure,47.60695,-122.33414,0.3010299956639812,5.185156699770475,Leisure,None,None,30.0,7.204571549789367,2.840269238037621,38.63,32.7,28.67,87.41,0.0,0.0,12.59,0.0,47,1
11,Leisure,47.60713,-122.33323,0.3010299956639812,5.5226750133894615,Leisure,None,None,36.0,7.430415501231828,2.870386345847962,67.12,22.27,10.61,101.04,0.0,0.0,18.36,0.0,18,1
12,Leisure,47.60699,-122.33346,0.3010299956639812,4.81298016603948,Leisure,None,None,48.0,6.819284498718164,2.5174994019984163,20.36,25.11,54.53,100.0,0.0,0.0,0.0,0.0,88,1
13,Leisure,47.60809,-122.33212,0.3010299956639812,5.499622483381793,Leisure,ServiceFacility,None,58.0,7.348798567949837,2.8126593871628134,62.28,19.43,18.29,93.53,18.23,0.0,18.23,0.0,36,2
14,Leisure,47.60755,-122.33244,0.3010299956639812,4.964688525813729,Leisure,ServiceFacility,None,35.0,7.0314089086457505,2.709600645297477,35.65,45.31,19.04,73.1,27.33,0.0,27.33,0.0,94,2
15,ServiceFacility,47.60649,-122.33297,0.3010299956639812,5.614898270144676,ServiceFacility,ServiceFacility,ServiceFacility,,7.269252779951063,2.26097721137248,96.03,3.97,0.0,88.57,11.89,0.26,13.83,0.0,12,3
16,ServiceFacility,47.60546,-122.33279,0.3010299956639812,5.016665703792512,ServiceFacility,ServiceFacility,Leisure,,6.998102205280052,2.638349461520909,44.73,46.12,9.14,86.61,38.49,0.0,0.0,0.0,86,3
17,Leisure,47.60681,-122.33078,0.3010299956639812,5.619387632434504,Leisure,ServiceFacility,None,31.0,7.525779982995194,2.905196626284124,63.25,0.0,36.75,83.68,20.42,0.0,20.42,0.0,33,2
18,ServiceFacility,47.60515,-122.33159,0.3010299956639812,4.759312710995219,Leisure,Leisure,ServiceFacility,,6.881161203006868,2.437782261990644,49.5,23.35,27.15,28.62,26.99,16.96,0.0,0.0,109,5
19,Leisure,47.60376,-122.33194,0.3010299956639812,5.018504938928234,Leisure,None,None,39.0,7.006663205691431,2.544464932184069,58.18,33.79,8.03,100.0,0.0,0.0,0.0,0.0,100,1
20,ServiceFacility,47.60265,-122.33051,0.3010299956639812,5.732683996723046,ServiceFacility,None,None,76.0,7.653062598401271,3.102533177227093,54.15,0.0,45.85,99.41,0.0,0.0,0.0,0.0,100,1
21,ServiceFacility,47.60378,-122.32842,0.3010299956639812,5.585770829116037,ServiceFacility,None,None,,7.679970997385928,3.2305638664696574,38.15,0.0,61.85,100.0,0.0,0.0,0.0,0.0,31,1
23,Leisure,47.65959,-122.31755,0.3010299956639812,4.947399408326414,Leisure,ServiceFacility,None,84.0,6.5639004042493685,1.9590891143673923,61.86,0.0,38.14,65.48,34.52,0.0,34.52,0.0,15,2
24,School,47.61816,-122.33629,0.3010299956639812,5.102413122516713,School,None,None,,7.054754234759989,2.589994256560121,40.97,0.0,59.03,98.74,0.0,0.0,0.0,0.0,88,1
25,ServiceFacility,47.615,-122.33081,0.3010299956639812,4.82753081089534,Store,None,None,,6.117350066547045,1.0056094453602804,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,86,1
26,Leisure,47.61301,-122.32929,0.3010299956639812,5.200513980964187,Leisure,ServiceFacility,Store,,6.726568495506833,2.4108952779688977,10.74,0.0,89.26,71.01,26.47,2.84,19.1,0.0,25,4
27,Leisure,47.61784,-122.32966,0.3010299956639812,5.2351924962698115,Leisure,None,None,57.0,7.0438303955382064,2.5180267304569792,50.72,0.0,49.28,75.01,0.0,0.0,22.27,0.0,15,1
29,Leisure,47.61558,-122.34186,0.3010299956639812,4.835125938784551,Leisure,None,None,57.0,6.649014911240379,2.1120685042681973,52.65,0.0,47.35,70.16,0.0,0.0,23.68,0.0,38,1
32,ServiceFacility,47.6641,-122.33118,0.3010299956639812,4.940830139444403,ServiceFacility,School,Leisure,,6.617621074786404,2.2007684447831717,32.63,0.0,67.37,46.92,20.8,4.94,0.0,0.0,110,4
33,Leisure,47.66583,-122.29965,0.3010299956639812,4.913135399628042,Leisure,None,None,29.0,6.824032681759753,2.3344537511509307,45.23,0.0,54.77,100.0,0.0,0.0,0.0,0.0,22,1
34,ServiceFacility,47.66172,-122.29598,0.3010299956639812,5.042799885888748,ServiceFacility,None,None,,5.502926425146778,0.69284691927723,88.35,0.0,11.65,23.76,0.0,0.0,0.0,0.0,61,1
36,ServiceFacility,47.51138,-122.28875,0.6020599913279624,5.85375660038636,ServiceFacility,ServiceFacility,ServiceFacility,,7.650610170458594,2.4953222772159536,100.0,0.0,0.0,86.26,38.65,9.94,0.0,0.0,55,3
37,School,47.65671,-122.39047,0.3010299956639812,4.740260025937805,School,None,None,97.0,6.217557702209971,1.5114822886260015,73.78,0.0,26.22,100.0,0.0,0.0,0.0,0.3010299956639812,26,1
39,ServiceFacility,47.66587,-122.38476,0.3010299956639812,4.977270788741242,ServiceFacility,ServiceFacility,None,57.0,6.791442384740794,2.119123864810617,69.37,0.0,30.63,58.57,41.43,0.0,0.0,0.0,55,2
40,ServiceFacility,47.58034,-122.31132,0.3010299956639812,4.720614040423462,ServiceFacility,School,None,83.0,6.470018103508515,1.928703027430597,53.53,0.0,46.47,97.1,14.94,0.0,0.0,0.0,116,2
41,School,47.68891,-122.33553,0.3010299956639812,5.2430777537952915,School,None,None,95.0,6.844771669192679,2.395937645080042,38.31,0.0,61.69,100.0,0.0,0.0,0.0,0.0,62,1
42,ServiceFacility,47.61351,-122.35129,0.3010299956639812,4.848724724449416,ServiceFacility,School,ServiceFacility,,6.334178208462547,1.6667986836661741,69.5,0.0,30.5,54.46,39.95,5.47,0.0,0.0,105,3
43,Leisure,47.60946,-122.33337,0.3010299956639812,5.521414008489275,Leisure,None,None,67.0,7.208527212485546,2.471775621020804,75.51,0.0,24.49,104.94,0.0,0.0,62.0,0.0,47,1
44,ServiceFacility,47.6113,-122.33659,0.3010299956639812,5.225609048246355,ServiceFacility,Store,ServiceFacility,78.0,6.979373620238912,1.8291750739170876,100.0,0.0,0.0,61.48,39.07,0.29,0.0,0.3010299956639812,43,3
45,ServiceFacility,47.61076,-122.33765,0.3010299956639812,4.7591312540617166,Store,ServiceFacility,None,,6.0959928576130205,1.5347873586294916,57.32,0.0,42.68,90.11,9.89,0.0,0.0,0.0,96,2
46,ServiceFacility,47.61048,-122.33794,0.3010299956639812,4.773793756274565,ServiceFacility,Store,None,14.0,6.705177104221309,1.56062387454993,100.0,0.0,0.0,58.83,8.41,0.0,0.0,0.0,106,2
47,ServiceFacility,47.60886,-122.33744,0.3010299956639812,4.720572720364261,Leisure,Leisure,ServiceFacility,,7.176849078331244,2.7673859440829474,30.83,0.0,69.17,44.72,44.72,10.39,0.0,0.0,90,3
48,Leisure,47.61233,-122.33432,0.3010299956639812,4.994031048913642,Leisure,ServiceFacility,Leisure,71.0,6.684966346053275,1.7795243433247898,88.61,0.0,11.39,84.75,10.18,5.07,10.18,0.0,86,3
49,Leisure,47.61087,-122.33339,0.3010299956639812,5.997479437530956,Leisure,ServiceFacility,Leisure,63.0,7.905629775475908,3.38962318240954,56.6,14.41,28.99,100.0,11.84,0.0,14.75,0.0,34,3
50,Leisure,47.60997,-122.34138,0.3010299956639812,4.852181008305475,Leisure,ServiceFacility,Store,98.0,6.72821657199824,2.13155450976124,60.65,0.0,39.35,58.1,19.3,13.5,0.0,0.0,31,4
51,Leisure,47.61155,-122.34114,0.3010299956639812,5.0892372676630435,Leisure,Leisure,Store,99.0,6.732496570892549,2.358277575795226,23.95,0.0,76.05,71.95,21.54,6.51,0.0,0.0,108,3
52,Leisure,47.61986,-122.34413,0.3010299956639812,5.053746665779169,Leisure,ServiceFacility,None,86.0,6.7229911226389385,2.1637277359589047,55.72,0.0,44.28,62.41,37.59,0.0,37.59,0.0,57,2
53,Leisure,47.62001,-122.34274,0.3010299956639812,5.177403738469153,Leisure,Leisure,None,84.0,6.827058175786518,2.303088010528054,50.57,0.0,49.43,71.48,1.99,0.0,23.09,0.3010299956639812,16,1
54,Leisure,47.62025,-122.34314,0.3010299956639812,5.065583448972771,Leisure,ServiceFacility,None,80.0,6.765489473796306,2.213225472773401,54.71,0.0,45.29,76.09,24.33,0.0,24.25,0.0,19,1
55,Leisure,47.62023,-122.35951,0.3010299956639812,5.192017965859878,Leisure,None,None,81.0,6.834859291255165,2.1868433703244703,66.68,0.0,33.32,100.0,0.0,0.0,23.61,0.0,18,1
56,School,47.63442,-122.30793,0.3010299956639812,4.748753792206785,School,None,None,76.0,6.5098459240449165,2.1683206655188654,17.06,0.0,82.94,100.0,0.0,0.0,0.0,0.0,105,1
57,Leisure,47.62519,-122.34456,0.3010299956639812,5.089703806373495,Leisure,ServiceFacility,None,94.0,6.727324462328698,2.2371414273388353,45.41,0.0,54.59,63.49,36.51,0.0,36.51,0.0,17,2
58,ServiceFacility,47.60823,-122.30956,0.3010299956639812,4.740244229390249,ServiceFacility,None,None,71.0,6.528301056437737,1.9492924014120256,58.61,0.0,41.39,100.0,0.0,0.0,0.0,0.0,54,1
59,Leisure,47.55837,-122.37751,0.3010299956639812,5.337666874307214,Leisure,ServiceFacility,None,54.0,7.631363325760725,3.237571383323743,27.63,0.0,72.37,136.17,0.0,0.0,0.0,0.0,94,2
60,Leisure,47.72426,-122.35599,0.3010299956639812,4.970337576462817,Leisure,None,None,1.0,7.21491174097545,2.7854010249923875,34.63,0.0,65.37,100.0,0.0,0.0,0.0,0.0,46,1
61,Leisure,47.61988,-122.33211,0.3010299956639812,4.924816651405721,Leisure,ServiceFacility,None,74.0,6.568917279989795,1.8328919447597907,75.89,0.0,24.11,75.35,24.65,0.0,24.65,0.0,8,2
63,MedicalFacility,47.61244,-122.3214,0.3010299956639812,5.252889422847454,MedicalFacility,None,None,48.0,7.222743932253786,2.6353228672124414,59.2,0.0,40.8,100.0,0.0,0.0,0.0,0.0,51,1
64,Leisure,47.60898,-122.32693,0.3010299956639812,4.884410160251051,Leisure,None,None,71.0,6.860862407430549,2.4211924683057493,36.66,0.0,63.34,100.0,0.0,0.0,0.0,0.0,108,1
65,ServiceFacility,47.60845,-122.32637,0.3010299956639812,4.999047852101716,MedicalFacility,ServiceFacility,ServiceFacility,,7.189577837535793,2.6839201551012097,65.57,34.43,0.0,40.26,20.91,17.06,9.36,0.0,33,6
66,Store,47.62237,-122.33805,0.3010299956639812,4.765824961996451,Store,None,None,96.0,6.021085728167839,1.6027109449575574,34.47,0.0,65.53,123.58,0.0,0.0,0.0,0.0,87,1
67,ServiceFacility,47.62424,-122.33646,0.3010299956639812,5.500108803132082,ServiceFacility,ServiceFacility,ServiceFacility,96.0,7.139751769104779,2.145662470707546,93.3,0.0,6.7,82.78,47.65,4.79,0.0,0.0,6,4
68,Leisure,47.62642,-122.33325,0.3010299956639812,5.451577678470737,Leisure,ServiceFacility,None,37.0,7.289127325138142,2.722510525890873,56.43,0.0,43.57,83.36,18.22,0.0,15.83,0.0,26,2
69,ServiceFacility,47.62208,-122.35398,0.3010299956639812,5.589950717762529,ServiceFacility,None,None,,7.373995998777388,2.7841963436273907,60.95,25.75,2.91,94.6,0.0,0.0,0.0,0.0,54,1
70,ServiceFacility,47.62208,-122.35398,0.3010299956639812,4.96006150122445,ServiceFacility,None,None,,6.910686103401732,2.538070787043172,46.11,50.61,0.0,71.26,0.0,0.0,0.0,0.0,54,1
71,ServiceFacility,47.62208,-122.35398,0.3010299956639812,5.597789492163952,ServiceFacility,None,None,,7.321288224747217,2.9059037662166167,34.61,46.59,0.0,70.31,0.0,0.0,0.0,0.0,78,1
72,ServiceFacility,47.62112,-122.33629,0.3010299956639812,5.756887029053346,ServiceFacility,ServiceFacility,ServiceFacility,91.0,7.597759765977347,2.791353747213654,81.32,0.0,18.68,104.81,54.38,4.59,0.0,0.0,6,3
73,ServiceFacility,47.62395,-122.35077,0.3010299956639812,4.716011695371454,ServiceFacility,None,None,,6.435584794291807,2.0121198358045134,47.44,44.1,0.0,100.0,0.0,0.0,0.0,0.0,54,1
74,ServiceFacility,47.62395,-122.35077,0.3010299956639812,4.783167226237643,ServiceFacility,None,None,,5.942476497101061,0.8518696007297664,100.0,0.0,0.0,177.94,0.0,0.0,0.0,0.0,88,1
75,ServiceFacility,47.62395,-122.35143,0.3010299956639812,5.418382506739202,ServiceFacility,None,None,,7.316457845289197,2.691726705009727,65.21,24.79,0.0,112.96,0.0,0.0,0.0,0.0,88,1
76,ServiceFacility,47.62391,-122.34837,0.3010299956639812,4.821126880105383,ServiceFacility,ServiceFacility,ServiceFacility,,6.619751294430546,1.4776999283321308,100.0,0.0,0.0,69.29,7.82,6.87,3.55,0.0,30,5
77,ServiceFacility,47.62419,-122.34443,0.3010299956639812,5.9640704988061435,ServiceFacility,ServiceFacility,ServiceFacility,93.0,7.564275911544871,2.829361674901893,75.26,0.0,24.74,79.25,20.1,0.65,32.99,0.0,6,3
78,ServiceFacility,47.62053,-122.35842,0.3010299956639812,4.882034755647653,ServiceFacility,ServiceFacility,ServiceFacility,68.0,6.541106441834298,1.6968803716827623,84.71,0.0,15.29,63.7,28.15,3.16,34.02,0.0,46,3
79,Leisure,47.62291,-122.35708,0.3010299956639812,4.9863730749678705,Leisure,ServiceFacility,None,56.0,6.712276645768223,2.1850886427579197,51.15,0.0,48.85,61.89,38.11,0.0,38.11,0.0,14,2
80,Leisure,47.65772,-122.31756,0.47712125471966244,4.699126322213974,Leisure,Leisure,None,53.0,6.736314895059455,2.2837533833325265,39.06,0.0,60.94,100.0,0.0,0.0,0.0,0.0,54,2
82,School,47.62548,-122.30828,0.3010299956639812,4.830870836339318,School,None,None,34.0,6.422734252401019,1.9022749204745018,50.54,0.0,49.46,100.0,0.0,0.0,0.0,0.0,93,1
83,School,47.62644,-122.30429,0.3010299956639812,5.288036722634327,School,None,None,100.0,6.79377938754501,2.3877990094623676,30.35,0.0,69.65,100.0,0.0,0.0,0.0,0.0,108,1
84,ServiceFacility,47.58408,-122.30125,0.3010299956639812,4.9975349104293665,ServiceFacility,ServiceFacility,None,63.0,6.689997588687092,1.5458017571592761,100.0,0.0,0.0,64.04,35.96,0.0,35.96,0.0,13,2
89,ServiceFacility,47.67524,-122.31534,0.3010299956639812,4.752217520720689,ServiceFacility,None,None,,6.803295454268417,1.6562899011913597,100.0,0.0,0.0,86.69,0.0,0.0,0.0,0.0,75,1
90,ServiceFacility,47.67559,-122.31769,0.3010299956639812,5.315833951377868,ServiceFacility,ServiceFacility,None,,6.62875445214086,2.1289805239666113,47.05,0.0,52.95,57.58,0.0,0.0,0.0,0.0,87,2
91,Leisure,47.73141,-122.3458,0.3010299956639812,4.710887068556091,Leisure,ServiceFacility,None,89.0,6.557692309046329,2.108192805135042,38.72,0.0,61.28,100.0,0.0,0.0,0.0,0.0,15,2
93,School,47.7257,-122.33684,0.3010299956639812,5.390207142350626,School,None,None,92.0,7.070617143116074,2.6480964264918994,33.37,0.0,66.63,100.0,0.0,0.0,0.0,0.0,57,1
94,Leisure,47.72551,-122.3423,0.3010299956639812,4.839723093782862,Leisure,None,None,78.0,6.510874493256863,1.9543390086024601,55.6,0.0,44.4,102.13,0.0,0.0,0.0,0.0,14,1
96,Leisure,47.6048,-122.3368,0.3010299956639812,5.2809901630299105,Leisure,ServiceFacility,None,98.0,6.813313791934083,2.1565188647470275,67.67,0.0,32.33,100.0,9.98,0.0,0.0,0.0,112,2
97,ServiceFacility,47.60804,-122.3367,0.3010299956639812,5.4534727623879045,Leisure,None,None,,7.165585660814035,2.633589637131385,66.95,29.44,3.6,66.79,0.0,0.0,0.0,0.0,18,1
98,MedicalFacility,47.66737,-122.37956,0.6989700043360189,5.455353524663039,MedicalFacility,ServiceFacility,None,14.0,7.8330879838917005,3.299180310745347,51.75,0.0,48.25,106.07,52.17,0.0,0.0,0.0,62,2
100,ServiceFacility,47.60112,-122.32785,0.3010299956639812,4.78644617334916,ServiceFacility,ServiceFacility,None,,6.9714324170803295,2.249809609401804,74.2,0.0,25.8,69.91,47.78,0.0,0.0,0.0,10,2
101,ServiceFacility,47.59809,-122.32283,0.3010299956639812,4.862256638502072,Leisure,None,None,,6.303294491748645,1.67449371729635,65.24,0.0,34.76,79.65,0.0,0.0,18.98,0.0,106,1
102,Leisure,47.62614,-122.3467,0.3010299956639812,5.210112428573938,Leisure,ServiceFacility,None,76.0,6.900201136355289,2.360593413565249,52.82,0.0,47.18,70.09,20.15,0.0,8.75,0.0,20,2
104,School,47.61495,-122.32177,0.3010299956639812,4.801616345615399,School,None,None,,6.48568722089597,1.8769679674325848,62.46,0.0,37.54,102.35,0.0,0.0,0.0,0.0,101,1
105,School,47.547,-122.35307,1.4471580313422192,5.644509488901822,School,None,None,,7.583218560564112,2.93813429295942,66.09,0.0,33.91,109.51,0.0,0.0,0.0,0.0,46,1
106,ServiceFacility,47.67828,-122.26456,0.3010299956639812,4.983630796908823,ServiceFacility,ServiceFacility,None,,7.21271579016215,2.3483438114793698,85.62,0.0,14.38,95.85,5.13,0.0,0.0,0.0,14,2
107,ServiceFacility,47.59545,-122.32146,0.3010299956639812,4.8283827359669536,ServiceFacility,None,None,,6.873644806312376,2.3119233087683617,55.94,0.0,44.06,101.49,0.0,0.0,0.0,0.0,66,1
112,ServiceFacility,47.53827,-122.28406,0.3010299956639812,4.73851102207967,ServiceFacility,ServiceFacility,None,,6.628733214620275,1.7938602013426697,83.92,0.0,16.08,47.05,45.65,0.0,0.0,0.0,58,2
113,ServiceFacility,47.53722,-122.284,0.3010299956639812,4.953382720948179,Leisure,ServiceFacility,Leisure,,6.290055434726915,2.0062948579813855,3.46,0.0,96.54,51.75,42.24,5.1,0.0,0.0,7,3
114,School,47.65147,-122.36122,0.3010299956639812,4.721084811442744,School,None,None,,6.614567417057267,2.0222633656812588,60.22,0.0,39.78,100.0,0.0,0.0,0.0,0.0,36,1
115,Leisure,47.65068,-122.36331,0.3010299956639812,5.14488852926799,Leisure,None,None,89.0,6.648221746696776,2.115244285327255,52.07,0.0,47.93,97.08,0.0,0.0,26.86,0.0,15,1
116,School,47.70763,-122.29453,0.3010299956639812,5.374306496972231,School,ServiceFacility,None,96.0,6.921997885581257,2.349821269512391,57.32,0.0,42.68,100.76,0.0,0.0,0.0,0.3010299956639812,5,2
117,ServiceFacility,47.60462,-122.31549,0.6020599913279624,5.399642575740045,ServiceFacility,ServiceFacility,None,,7.116332105319368,2.626740596252816,62.39,33.17,4.44,54.81,31.22,0.0,0.0,0.0,45,2
119,ServiceFacility,47.61598,-122.33448,0.3010299956639812,5.475774302865546,ServiceFacility,None,None,,7.81515906332993,3.3131962866255704,46.91,0.0,53.09,83.59,0.0,0.0,22.88,0.0,12,1
120,ServiceFacility,47.536,-122.31768,0.3010299956639812,4.8062885340349215,ServiceFacility,ServiceFacility,ServiceFacility,21.0,6.510823559641145,1.703978825008386,81.97,0.0,18.03,46.86,23.43,14.08,0.0,0.0,9,3
121,Store,47.70759,-122.3255,0.3010299956639812,5.724308645306016,Store,Leisure,None,98.0,7.44274677023953,2.8600204062264996,58.54,0.0,41.46,95.3,4.7,0.0,0.0,0.0,65,2
122,ServiceFacility,47.7066,-122.321,0.3010299956639812,4.734199560686231,MedicalFacility,None,None,,6.861246318944376,2.3664789916085938,46.04,0.0,53.96,86.7,0.0,0.0,0.0,0.0,52,1
123,Store,47.70619,-122.32586,0.3010299956639812,5.094621341299214,Store,None,None,76.0,6.942800425912391,1.8280150642239767,98.72,0.0,1.28,98.12,0.0,0.0,0.0,0.0,51,1
125,ServiceFacility,47.70956,-122.3345,0.3010299956639812,4.7438467217515825,ServiceFacility,ServiceFacility,MedicalFacility,72.0,6.503958003953381,1.927883410330707,58.26,0.0,41.74,51.65,27.75,15.59,0.0,0.0,20,3
127,ServiceFacility,47.61233,-122.3171,0.3010299956639812,4.928759319319617,ServiceFacility,None,None,,6.1403795347679235,1.716921073166761,34.93,0.0,65.07,100.77,0.0,0.0,0.0,0.0,106,1
128,School,47.69936,-122.33401,1.0791812460476249,5.841405150325017,School,None,None,,7.5549914275158425,2.56088656952376,93.2,0.0,6.8,96.15,0.0,0.0,16.08,0.0,46,1
131,ServiceFacility,47.55152,-122.31869,0.3010299956639812,5.058038631125263,ServiceFacility,None,None,61.0,6.322239716434765,1.8478193472952393,43.45,0.0,56.55,100.0,0.0,0.0,0.0,0.0,112,1
134,ServiceFacility,47.55901,-122.33328,0.3010299956639812,5.369484888167237,ServiceFacility,None,None,87.0,6.828938039432418,2.4748424789198213,19.52,0.0,80.48,100.0,0.0,0.0,0.0,0.0,79,1
135,Store,47.52254,-122.36627,0.3010299956639812,4.812813123273505,Store,None,None,72.0,6.468981653327824,1.5656117249020587,88.77,0.0,11.23,100.68,0.0,0.0,0.0,0.0,50,1
136,Store,47.52254,-122.36627,0.3010299956639812,4.830883657786862,Store,None,None,37.0,6.965212240655762,2.568366020627623,28.43,0.0,71.57,100.05,0.0,0.0,0.0,0.0,51,1
137,School,47.52915,-122.36511,0.3010299956639812,5.565712080437719,School,None,None,97.0,7.088685858740123,2.437512745264804,66.9,0.0,33.1,100.0,0.0,0.0,0.0,0.3010299956639812,6,1
140,ServiceFacility,47.67767,-122.39631,0.3010299956639812,4.748195782195563,ServiceFacility,None,None,,6.267467769366418,1.7806053058389697,45.64,0.0,54.36,100.0,0.0,0.0,0.0,0.0,43,1
142,ServiceFacility,47.54508,-122.37737,0.3010299956639812,4.7167460199658,ServiceFacility,None,None,,6.139098070660397,1.6988831367525903,38.02,0.0,61.98,100.0,0.0,0.0,0.0,0.0,47,1
144,Leisure,47.62972,-122.32906,0.3010299956639812,5.093144909372919,Leisure,ServiceFacility,Leisure,79.0,6.9718869571794855,2.49220145139254,43.52,0.0,56.48,100.0,24.21,0.0,24.21,0.0,18,3
145,ServiceFacility,47.62759,-122.33661,0.3010299956639812,4.698978690138799,Leisure,None,None,,6.877878379457994,2.355432362470549,50.31,0.0,49.69,86.0,0.0,0.0,0.0,0.0,116,1
146,ServiceFacility,47.62591,-122.34084,0.3010299956639812,4.701507542254177,ServiceFacility,Leisure,ServiceFacility,,5.6339476194313205,0.6020599913279624,100.0,0.0,0.0,84.2,9.94,9.41,0.0,0.0,90,4
147,Leisure,47.62782,-122.34045,0.3010299956639812,5.317346575513961,Leisure,None,None,76.0,7.048130499420513,2.5304046265928246,49.51,0.0,50.49,68.19,0.0,0.0,26.17,0.0,18,1
149,ServiceFacility,47.70044,-122.34136,0.3010299956639812,4.959666135906098,ServiceFacility,ServiceFacility,ServiceFacility,,6.976458149341308,2.24740856192157,74.89,0.0,25.11,63.61,36.08,13.0,0.0,0.0,59,5
151,Leisure,47.70916,-122.33216,0.3010299956639812,4.812204544452907,Leisure,None,None,70.0,6.792239379534663,2.32068622098333,42.28,0.0,57.72,100.0,0.0,0.0,0.0,0.0,48,1
154,ServiceFacility,47.60105,-122.33518,0.3010299956639812,4.648935435770809,ServiceFacility,ServiceFacility,Leisure,78.0,6.224533904261243,1.466422722433792,78.57,0.0,21.43,77.24,17.22,5.54,0.0,0.0,116,3
155,ServiceFacility,47.59544,-122.33159,0.3010299956639812,6.200292503477773,Leisure,ServiceFacility,None,,7.7763919913613115,2.9511577400267104,82.73,0.0,17.27,100.0,0.0,0.0,20.66,0.0,17,2
156,ServiceFacility,47.57199,-122.32811,0.3010299956639812,5.253245901864388,ServiceFacility,ServiceFacility,ServiceFacility,,6.974806756142514,1.988692702549817,92.96,0.0,7.04,65.57,20.83,14.26,0.0,0.0,92,4
157,ServiceFacility,47.57199,-122.32811,0.3010299956639812,4.768201367683189,ServiceFacility,ServiceFacility,ServiceFacility,,6.594248452316928,1.4531653925258572,100.0,0.0,0.0,69.63,28.54,19.67,0.0,0.0,51,4
158,ServiceFacility,47.59085,-122.33354,0.3010299956639812,6.068975040571398,Leisure,None,None,,7.769091432251055,3.0960579605390683,69.13,0.0,30.87,100.0,0.0,0.0,0.0,0.0,17,1
159,Leisure,47.59269,-122.33372,0.3010299956639812,5.226471015317139,Leisure,ServiceFacility,Leisure,64.0,7.104718878038344,2.5903624871522615,48.97,0.0,51.03,80.15,12.23,5.47,8.65,0.0,11,3
160,ServiceFacility,47.57507,-122.35747,0.3010299956639812,4.9009185236642265,ServiceFacility,None,None,34.0,6.382269841902093,1.2506639194632434,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100,1
162,ServiceFacility,47.52429,-122.31234,1.1760912590556813,5.524226006347672,ServiceFacility,MedicalFacility,ServiceFacility,,7.728083258144894,2.8748006084982682,84.77,0.0,15.23,72.07,21.82,5.01,9.53,0.0,36,4
163,ServiceFacility,47.70281,-122.32532,0.3010299956639812,5.623093123116701,ServiceFacility,Leisure,MedicalFacility,,6.960706840179837,2.2132786299927947,76.58,0.0,23.42,79.82,15.48,3.23,79.82,0.0,8,5
164,ServiceFacility,47.6239,-122.35756,0.3010299956639812,5.044484882171271,Leisure,Store,ServiceFacility,,7.023577996709095,1.9727118405470665,96.04,0.0,3.96,52.86,43.8,26.93,0.0,0.0,14,5
166,Leisure,47.61275,-122.3333,0.3010299956639812,5.970483094996894,Leisure,ServiceFacility,Leisure,,7.813229174316124,3.214700825097366,60.52,0.0,39.48,53.04,46.96,5.32,0.0,0.0,17,5
167,MedicalFacility,47.60705,-122.30966,0.8450980400142568,5.77635244643067,MedicalFacility,ServiceFacility,None,34.0,8.156618878163979,3.690845263678927,40.97,0.0,59.03,100.69,8.13,0.0,0.0,0.0,26,2
