,PrimaryPropertyType,Latitude,Longitude,NumberofBuildings,PropertyGFATotal,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,ElectricityUse(Percentage),SteamUse(Percentage),NaturalGasUse(Percentage),LargestUseTypeGFA(Percentage),SecondLargestUseTypeGFA(Percentage),ThirdLargestUseTypeGFA(Percentage),ParkingGFA(Percentage),NumberOfYearsENERGYSTARCertified,BuildingAge,NumberOfPropertyUses
1338,ServiceFacility,47.61954,-122.35847,0.3010299956639812,4.661481397843616,ServiceFacility,None,None,94.0,6.413404216948612,2.0660648974596776,18.54,0.0,81.46,100.0,0.0,0.0,0.0,0.0,86,1
1340,School,47.72726,-122.32835,0.3010299956639812,4.69243268851415,School,None,None,23.0,6.542310750696082,2.0249369680374434,49.88,0.0,50.12,124.05,0.0,0.0,0.0,0.0,17,1
1351,ServiceFacility,47.63245,-122.32529,0.3010299956639812,4.520837112780868,ServiceFacility,ServiceFacility,None,89.0,6.154204944605986,1.567731962548069,60.47,0.0,39.53,100.0,45.21,0.0,0.0,0.0,29,2
1352,Store,47.63246,-122.32658,0.3010299956639812,4.401314362691788,Store,MedicalFacility,ServiceFacility,,6.273867577729076,1.755493728415119,50.57,0.0,49.43,42.67,31.93,10.46,14.94,0.0,23,3
1359,ServiceFacility,47.55072,-122.30265,0.3010299956639812,4.34141473850183,ServiceFacility,None,None,80.0,5.513220514227423,0.5145477526602861,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,39,1
1360,ServiceFacility,47.64033,-122.29135,0.3010299956639812,4.494043222179929,Leisure,ServiceFacility,None,,6.769114306249927,2.2278353057755873,53.16,0.0,46.84,96.49,3.51,0.0,0.0,0.0,89,2
1362,ServiceFacility,47.72039,-122.29729,0.3010299956639812,4.572616059691252,ServiceFacility,Store,ServiceFacility,,6.4830134210597485,2.052039507001472,35.48,0.0,64.52,83.75,9.28,2.25,0.0,0.0,69,3
1364,ServiceFacility,47.53906,-122.32031,0.3010299956639812,4.468066573179598,ServiceFacility,ServiceFacility,ServiceFacility,33.0,5.932519233842328,0.8432327780980095,100.0,0.0,0.0,57.07,23.27,19.66,0.0,0.0,39,3
1373,ServiceFacility,47.60321889,-122.3205567,0.3010299956639812,4.355815355115771,ServiceFacility,None,None,87.0,5.520714047206362,0.9068735347220704,68.93,0.0,31.07,100.0,0.0,0.0,0.0,0.0,94,1
1391,ServiceFacility,47.56028,-122.28914,0.3010299956639812,4.3495689025086754,School,ServiceFacility,None,,6.166439217057568,1.7438232216037504,34.69,0.0,65.31,100.0,0.0,0.0,0.0,0.0,54,2
1392,ServiceFacility,47.54693,-122.28718,0.3010299956639812,4.6155607998873,ServiceFacility,None,None,84.0,6.279543041821942,1.1544239731146468,100.0,0.0,0.0,98.73,0.0,0.0,0.0,0.0,34,1
1405,ServiceFacility,47.62038,-122.34668,0.3010299956639812,4.635322867212442,ServiceFacility,ServiceFacility,None,,6.869721081605682,1.9705793057148508,88.06,0.0,11.94,61.55,26.62,0.0,0.0,0.0,63,2
1408,ServiceFacility,47.68566,-122.31849,0.3010299956639812,4.659735602456012,ServiceFacility,None,None,79.0,6.3174449387446705,1.9435439771534544,24.52,0.0,75.48,100.0,0.0,0.0,0.0,0.0,108,1
1418,Leisure,47.61935,-122.33389,0.3010299956639812,5.859827935285593,Leisure,None,None,8.0,7.577458307317894,2.960979455525577,62.75,0.0,37.25,100.26,0.0,0.0,0.0,0.0,10,1
1422,ServiceFacility,47.53439,-122.37699,0.3010299956639812,4.372230583250113,ServiceFacility,ServiceFacility,None,96.0,5.725697850882149,0.6730209071288962,100.0,0.0,0.0,77.57,64.56,0.0,0.0,0.0,59,2
1425,ServiceFacility,47.65804,-122.36537,0.3010299956639812,4.460070543294161,ServiceFacility,ServiceFacility,None,,5.959384725046465,0.8662873390841949,100.0,0.0,0.0,35.68,35.36,0.0,0.0,0.0,17,2
1429,ServiceFacility,47.56067,-122.32646,0.3010299956639812,4.3243236187005865,ServiceFacility,ServiceFacility,None,,5.8298013982073735,1.4619484952037618,25.41,0.0,74.59,87.07,12.93,0.0,0.0,0.0,27,2
1430,ServiceFacility,47.56067,-122.32705,0.3010299956639812,4.6589172200445175,ServiceFacility,None,None,75.0,6.130741773382158,1.0178677189635057,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,102,1
1431,ServiceFacility,47.55013,-122.33044,0.3010299956639812,4.4258764348879325,ServiceFacility,None,None,,6.350496406387326,1.220631019448092,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,66,1
1432,ServiceFacility,47.56056,-122.32593,0.3010299956639812,4.4491234131845605,ServiceFacility,ServiceFacility,None,44.0,5.939832037897749,1.2929202996000062,68.73,0.0,31.27,77.44,22.56,0.0,0.0,0.0,41,2
1433,ServiceFacility,47.54813,-122.32553,0.3010299956639812,4.544080452586785,ServiceFacility,None,None,53.0,5.578312972760068,0.561101383649056,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,52,1
1434,ServiceFacility,47.54948,-122.32536,0.3010299956639812,4.417488300705328,ServiceFacility,None,None,6.0,6.082213816383218,1.440121603187804,67.49,0.0,32.51,100.0,0.0,0.0,0.0,0.0,54,1
1435,ServiceFacility,47.54974,-122.3261,0.3010299956639812,4.380229336938037,ServiceFacility,None,None,73.0,6.036851274631375,0.9339931638312423,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,49,1
1436,School,47.64132,-122.31644,0.3010299956639812,4.639436681999547,School,None,None,38.0,6.39410945155737,1.8707549448901402,51.04,0.0,48.96,93.61,0.0,0.0,0.0,0.0,48,1
1442,ServiceFacility,47.65791,-122.34274,0.3010299956639812,4.448412569510079,ServiceFacility,ServiceFacility,None,,5.900217216561224,1.2909245593827543,64.55,0.0,35.45,91.1,8.9,0.0,0.0,0.0,104,2
1456,Leisure,47.72618,-122.35642,0.3010299956639812,4.710108899249929,Leisure,None,None,85.0,6.75247707321071,2.311181486433018,37.04,0.0,62.96,100.0,0.0,0.0,0.0,0.0,62,1
1458,ServiceFacility,47.72558,-122.3578,0.3010299956639812,4.3433692002275315,ServiceFacility,ServiceFacility,None,100.0,5.424515607775877,0.4548448600085102,100.0,0.0,0.0,103.86,0.0,0.0,0.0,0.0,54,2
1462,ServiceFacility,47.5213,-122.32182,0.3010299956639812,4.499700825897211,ServiceFacility,None,None,3.0,6.526796144866325,2.0182010224962914,48.56,0.0,51.44,100.0,0.0,0.0,0.0,0.0,37,1
1463,ServiceFacility,47.52024,-122.32137,0.3010299956639812,4.547651658359969,ServiceFacility,None,None,63.0,5.942715252833258,1.3961993470957363,56.0,0.0,44.0,100.0,0.0,0.0,0.0,0.0,9,1
1464,ServiceFacility,47.51899,-122.321,0.3010299956639812,4.461213305461135,ServiceFacility,None,None,50.0,6.243142266856271,1.9089673004183878,15.94,0.0,84.06,103.73,0.0,0.0,0.0,0.0,35,1
1465,ServiceFacility,47.5193,-122.3213,0.3010299956639812,4.345902796476545,ServiceFacility,None,None,60.0,5.867131250928171,1.5285310606354117,18.67,0.0,81.33,100.0,0.0,0.0,0.0,0.0,38,1
1468,ServiceFacility,47.70079,-122.32714,0.3010299956639812,4.601277556858066,ServiceFacility,ServiceFacility,None,38.0,6.552476025656234,1.4129642719966629,100.0,0.0,0.0,99.03,0.0,0.0,0.0,0.0,42,2
1469,ServiceFacility,47.69883,-122.32479,0.3010299956639812,4.485877517359114,Leisure,ServiceFacility,None,,6.632917764578051,2.136117842896476,46.57,0.0,53.43,76.18,23.82,0.0,0.0,0.0,37,2
1470,MedicalFacility,47.70007,-122.32533,0.3010299956639812,4.430252479903108,MedicalFacility,None,None,64.0,6.001299201034983,0.9025467793139914,100.0,0.0,0.0,100.0,0.0,0.0,23.58,0.0,36,1
1471,MedicalFacility,47.70087,-122.32379,0.3010299956639812,4.588226874130211,MedicalFacility,ServiceFacility,None,76.0,6.460954943467352,1.7043221408222353,77.9,0.0,22.1,167.94,0.0,0.0,0.0,0.0,48,2
1472,ServiceFacility,47.66353,-122.29505,0.3010299956639812,4.3074318517197465,ServiceFacility,None,None,,5.93230433902823,0.8432327780980095,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,57,1
1473,ServiceFacility,47.66246,-122.29342,0.3010299956639812,4.345099146132895,MedicalFacility,ServiceFacility,Store,,6.100933900705435,1.4534712337229359,68.01,0.0,31.99,46.93,36.67,14.46,0.0,0.0,71,4
1474,MedicalFacility,47.66183,-122.29264,0.3010299956639812,4.5840936546063356,MedicalFacility,ServiceFacility,None,86.0,6.21632589514799,1.738225448142505,44.34,0.0,55.66,91.37,8.63,0.0,0.0,0.0,49,2
1475,ServiceFacility,47.66294,-122.29521,0.3010299956639812,4.526041890680879,ServiceFacility,None,None,64.0,6.105589457566501,1.7052648623174043,30.59,0.0,69.41,100.0,0.0,0.0,0.0,0.0,36,1
1476,Store,47.66205,-122.29545,0.3010299956639812,4.51859289533341,Store,ServiceFacility,None,21.0,7.0270540646529,2.355394044623171,69.15,0.0,30.85,105.99,0.0,0.0,0.0,0.0,41,2
1481,ServiceFacility,47.61074,-122.32259,0.3010299956639812,4.321639849041686,ServiceFacility,Store,MedicalFacility,,5.862964679789764,0.7839035792727349,100.0,0.0,0.0,111.98,49.4,40.58,0.0,0.0,35,4
1486,ServiceFacility,47.63981,-122.39907,0.3010299956639812,4.378597739453303,ServiceFacility,Store,None,,5.941301843677408,1.207095540419218,77.63,0.0,22.37,83.65,16.35,0.0,0.0,0.0,89,2
1488,ServiceFacility,47.67477,-122.38241,0.3010299956639812,4.337778624836184,ServiceFacility,None,None,80.0,5.634871489320854,1.2643455070500924,27.8,0.0,72.2,100.0,0.0,0.0,0.0,0.0,106,1
1494,School,47.61065,-122.31711,0.3010299956639812,6.342422878228744,School,ServiceFacility,None,,8.059368456574184,3.511145101374597,53.79,0.0,46.21,78.17,14.5,0.0,0.0,0.0,77,2
1496,ServiceFacility,47.6101,-122.30838,0.3010299956639812,4.424244421837034,ServiceFacility,None,None,1.0,6.243406391306922,1.8187535904977168,34.83,0.0,65.17,100.0,0.0,0.0,0.0,0.0,115,1
1497,ServiceFacility,47.65022,-122.34174,0.3010299956639812,4.304081029459922,ServiceFacility,None,None,49.0,5.066279703531584,0.2576785748691845,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,59,1
1508,Store,47.53846,-122.28305,0.3010299956639812,4.589346305830272,Store,ServiceFacility,None,82.0,6.83993541833744,2.33557824276245,47.57,0.0,52.43,100.0,15.45,0.0,0.0,0.0,24,2
